time_seconds,score_C,score_Cs,score_D,score_Ds,score_E,score_F,score_Fs,score_G,score_Gs,score_A,score_As,score_B,audio_C,audio_Cs,audio_D,audio_Ds,audio_E,audio_F,audio_Fs,audio_G,audio_Gs,audio_A,audio_As,audio_B,expected_chroma_coverage,unexpected_chroma_strength,frame_match_score
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3880702257156372,0.0,0.0,0.0,0.013519734144210815,0.6666666666666666,0.0,58.687866131464645
0.023219954648526078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3898569345474243,0.0,0.0,0.0,0.013625764288008213,0.6666666666666666,0.0,58.713102651139096
0.046439909297052155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3900682330131531,0.0,0.0,0.0,0.013639622367918491,0.6666666666666666,0.0,58.71610473841429
0.06965986394557823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39015305042266846,0.0,0.0,0.0,0.013624526560306549,0.6666666666666666,0.0,58.717034359772995
0.09287981859410431,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3907908499240875,0.0,0.0,0.0,0.013655942864716053,0.6666666666666666,0.0,58.72595723718405
0.11609977324263039,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39287662506103516,0.0,0.0,0.0,0.01375409122556448,0.6666666666666666,0.0,58.75507621715467
0.13931972789115646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3954698443412781,0.0,0.0,0.0,0.0138447480276227,0.6666666666666666,0.0,58.79086123158534
0.16253968253968254,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39693012833595276,0.0,0.0,0.0,0.01384007465094328,0.6666666666666666,0.0,58.81026937315862
0.18575963718820862,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3980911076068878,0.0,0.0,0.0,0.013786622323095798,0.6666666666666666,0.0,58.82503639906645
0.2089795918367347,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40008997917175293,0.0,0.0,0.0,0.01378128957003355,0.6666666666666666,0.0,58.85161691655715
0.23219954648526078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4023444354534149,0.0,0.0,0.0,0.013863752596080303,0.6666666666666666,0.0,58.88277584065993
0.25541950113378686,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40425434708595276,0.0,0.0,0.0,0.014021451584994793,0.6666666666666666,0.0,58.9103439822793
0.2786394557823129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4065988063812256,0.0,0.0,0.0,0.014169672504067421,0.6666666666666666,0.0,58.94357971847057
0.301859410430839,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40878236293792725,0.0,0.0,0.0,0.014253232628107071,0.6666666666666666,0.0,58.97380794088046
0.3250793650793651,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41587069630622864,0.0,0.0,0.0,0.014304347336292267,0.6666666666666666,0.0,59.06900058190028
0.34829931972789113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04299631714820862,0.0,0.0,0.0,2.2688520573410642e-7,1.0,0.0,0.0,0.0,0.014594484120607376,0.3333333333333333,2.2688520573410642e-7,34.1012061458801
0.37151927437641724,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013633551076054573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005582242272794247,0.3333333333333333,0.0,33.58954391131799
0.3947392290249433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006537638604640961,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0038123491685837507,0.3333333333333333,0.0,33.47133317030966
0.4179591836734694,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004324595909565687,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003760857740417123,0.3333333333333333,0.0,33.441139381999776
0.44117913832199546,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002741902368143201,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003727109869942069,0.3333333333333333,0.0,33.41958682984114
0.46439909297052157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00249405181966722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003710278309881687,0.3333333333333333,0.0,33.41605773506065
0.4876190476190476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0024667619727551937,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0037101588677614927,0.3333333333333333,0.0,33.41569227787356
0.5108390022675737,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0024544689804315567,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003725710092112422,0.3333333333333333,0.0,33.41573572096725
0.5340589569160997,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0024084686301648617,0.0,0.0,0.0,0.0,1.0,0.0,0.0005758061306551099,0.0,0.0038375125732272863,0.3333333333333333,0.0005758061306551099,33.40509696009879
0.5572789115646258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002665238920599222,0.0,0.0,0.0,0.0,1.0,0.0,0.09584181010723114,0.0,0.004544597119092941,0.3333333333333333,0.09584181010723114,31.51262827838461
0.5804988662131519,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002952511887997389,0.0,0.0,0.0,0.0,1.0,0.0,0.8017416000366211,0.0,0.006680204067379236,0.3333333333333333,0.8017416000366211,17.42693754533927
0.603718820861678,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.002700761891901493,0.0,0.0,0.0,0.0,0.4076748788356781,0.0,1.0,0.0,0.005735766142606735,0.5,0.0,44.16111406870186
0.626938775510204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06088632345199585,0.0,0.0,0.0,0.0,0.2351987212896347,0.0,1.0,0.0,0.12952977418899536,0.25,0.0,29.25614818930626
0.6501587301587302,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.060528531670570374,0.0,0.0,0.0,0.0,0.17197994887828827,0.0,1.0,0.0,0.128789022564888,0.25,0.0,28.612975031137466
0.6733786848072563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06054332107305527,0.0,0.0,0.0,0.0,0.10864430665969849,0.0,1.0,0.0,0.1290747970342636,0.25,0.0,27.982624247670174
0.6965986394557823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06021707132458687,0.0,0.0,0.0,0.0,0.10788439959287643,0.0,1.0,0.0,0.12777912616729736,0.25,0.0,27.958805970847607
0.7198185941043084,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.056942831724882126,0.0,0.0,0.0,0.0,0.10834181308746338,0.0,1.0,0.0,0.14073722064495087,0.25,0.0,28.060218654572964
0.7430385487528345,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.04587680473923683,0.0,0.0,0.0,0.0,0.23192085325717926,0.0,1.0,0.1609359234571457,0.030489610508084297,0.25,0.1609359234571457,24.86415421590209
0.7662585034013606,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.005080353002995253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.24247390031814575,0.25,0.0,27.47554253321141
0.7894784580498866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0020959549583494663,0.0,0.0,0.0,0.0,0.005923944059759378,0.0,1.0,0.0,0.29085782170295715,1.0,0.005923944059759378,85.69867755286396
0.8126984126984127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4457496106624603,1.0,0.0,88.9149922132492
0.8359183673469388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5752043128013611,1.0,0.0,91.50408625602722
0.8591383219954648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6256187558174133,1.0,0.0,92.51237511634827
0.8823582766439909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6290000677108765,1.0,0.0,92.58000135421753
0.905578231292517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6274239420890808,1.0,0.0,92.54847884178162
0.9287981859410431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6802675724029541,1.0,0.0,93.60535144805908
0.9520181405895691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.13823392987251282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4970163404941559,1.0,0.13823392987251282,87.17564821243286
0.9752380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8015109896659851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22932332754135132,0.5,0.8015109896659851,38.556246757507324
0.9984580498866213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9364960789680481,0.0,0.07430907338857651,1.0,0.07430907338857651,97.24374011158943
1.0216780045351475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9153749942779541,0.0,0.0,1.0,0.0,98.30749988555908
1.0448979591836736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9233075380325317,0.0,0.0,1.0,0.0,98.46615076065063
1.0681179138321995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9295546412467957,0.0,0.0,1.0,0.0,98.59109282493591
